Image;Question;List
61513;Q1;1
61514;Q2;1
61537;Q3;1
61574;Q4;1
107906;Q5;1
107909;Q6;1
107930;Q7;1
107933;Q8;1
107955;Q9;1
107964;Q10;1
150273;Q11;1
150277;Q12;1
150280;Q13;1
150290;Q14;1
150296;Q15;1
150303;Q16;1
150374;Q17;1
150384;Q18;1
150432;Q19;1
150458;Q20;1
150463;Q21;1
150474;Q22;1
150496;Q23;1
285610;Q24;1
285670;Q25;1
285684;Q26;1
285686;Q27;1
285715;Q28;1
285751;Q29;1
285766;Q30;1
285807;Q31;1
285851;Q32;1
285859;Q33;1
285896;Q34;1
285905;Q35;1
285932;Q36;1
285933;Q37;1
285946;Q38;1
285948;Q39;1
285949;Q40;1
285959;Q41;1
285992;Q42;1
285993;Q43;1
285994;Q44;1
286001;Q45;1
286034;Q46;1
286058;Q47;1
286066;Q48;1
497926;Q49;1
497950;Q50;1
497974;Q51;1
498024;Q55;2
498025;Q56;2
498032;Q57;2
498039;Q58;2
498058;Q59;2
498079;Q60;2
498092;Q61;2
498108;Q62;2
498111;Q63;2
498149;Q64;2
498151;Q65;2
498153;Q66;2
498155;Q67;2
498170;Q68;2
498175;Q69;2
498221;Q70;2
498226;Q71;2
498253;Q72;2
498258;Q73;2
498261;Q74;2
498272;Q75;2
498280;Q76;2
498281;Q77;2
498286;Q78;2
498304;Q79;2
498326;Q80;2
498339;Q81;2
498372;Q82;2
498388;Q83;2
498396;Q84;2
498398;Q85;2
498405;Q86;2
712977;Q87;2
713003;Q88;2
713017;Q89;2
713024;Q90;2
713028;Q91;2
713075;Q92;2
713089;Q93;2
713112;Q94;2
713135;Q95;2
713142;Q96;2
713146;Q97;2
713174;Q98;2
713211;Q99;2
713228;Q100;2
713274;Q101;2
713285;Q102;2
713328;Q103;2
713330;Q104;2
713371;Q105;2
713380;Q107;3
713381;Q108;3
713392;Q109;3
713403;Q110;3
713418;Q111;3
713450;Q112;3
713512;Q113;3
713513;Q114;3
713519;Q115;3
713585;Q116;3
713593;Q117;3
713620;Q118;3
713633;Q119;3
713640;Q120;3
713652;Q121;3
713653;Q122;3
713666;Q123;3
713679;Q124;3
713681;Q125;3
713684;Q126;3
713689;Q127;3
713707;Q128;3
713718;Q129;3
713730;Q130;3
713742;Q131;3
713749;Q132;3
713760;Q133;3
713765;Q134;3
713769;Q135;3
713770;Q136;3
713779;Q137;3
713780;Q138;3
713786;Q139;3
713788;Q140;3
713790;Q141;3
713796;Q142;3
713807;Q143;3
713829;Q144;3
713858;Q145;3
713888;Q146;3
713920;Q147;3
713936;Q148;3
1159293;Q149;3
1159318;Q150;3
1159325;Q151;3
1159329;Q152;3
1159335;Q153;3
1159353;Q154;3
1159365;Q155;3
1159379;Q156;3
1159392;Q157;3
1159397;Q158;4
1159408;Q159;4
1159425;Q160;4
1159427;Q161;4
1159434;Q162;4
1159440;Q163;4
1159446;Q164;4
1159447;Q165;4
1159463;Q166;4
1159470;Q167;4
1159482;Q168;4
1159486;Q169;4
1159497;Q170;4
1159508;Q171;4
1159515;Q172;4
1159541;Q173;4
1159572;Q174;4
1159575;Q175;4
1159592;Q176;4
1159606;Q177;4
1159609;Q178;4
1159621;Q179;4
1159648;Q180;4
1159675;Q181;4
1159724;Q182;4
1159749;Q183;4
1159762;Q184;4
1159768;Q185;4
1159775;Q186;4
1159777;Q187;4
1159784;Q188;4
1159813;Q189;4
1159819;Q190;4
1159829;Q191;4
1159847;Q192;4
1159855;Q193;4
1159860;Q194;4
1159870;Q195;4
1159874;Q196;4
1159882;Q197;4
1159889;Q198;4
1159897;Q199;4
1159904;Q200;4
1159956;Q201;4
1159967;Q202;4
1159973;Q203;4
1159991;Q204;4
1160019;Q205;4
1160049;Q206;4
1160062;Q207;4
1160093;Q208;4
1160127;Q209;5
1160140;Q210;5
1160152;Q211;5
1160155;Q212;5
1160158;Q213;5
1160167;Q214;5
1160168;Q215;5
1160171;Q216;5
1160180;Q217;5
1160189;Q218;5
1160204;Q219;5
1160227;Q220;5
1160247;Q221;5
1591781;Q222;5
1591805;Q223;5
1591838;Q224;5
1591858;Q225;5
1591859;Q226;5
1591876;Q227;5
1591909;Q228;5
1591920;Q229;5
1591932;Q230;5
1591954;Q231;5
1591961;Q232;5
1591975;Q233;5
1591977;Q234;5
1591994;Q235;5
1592017;Q236;5
1592025;Q237;5
1592027;Q238;5
1592033;Q239;5
1592038;Q240;5
1592044;Q241;5
1592047;Q242;5
1592079;Q243;5
1592083;Q244;5
1592094;Q245;5
1592119;Q246;5
1592129;Q247;5
1592133;Q248;5
1592137;Q249;5
1592150;Q250;5
1592168;Q251;5
1592189;Q252;5
1592193;Q253;5
1592201;Q254;5
1592233;Q255;5
1592241;Q256;5
1592251;Q257;5
1592254;Q258;5
1592286;Q259;5
1592289;Q260;6
1592298;Q261;6
1592303;Q262;6
1592305;Q263;6
1592314;Q264;6
1592350;Q265;6
1592351;Q266;6
1592352;Q267;6
1592362;Q268;6
1592367;Q269;6
1592372;Q270;6
1592378;Q271;6
1592394;Q272;6
1592397;Q273;6
1592401;Q274;6
1592499;Q275;6
1592501;Q276;6
1592519;Q277;6
1592530;Q278;6
1592567;Q279;6
1592568;Q280;6
1592581;Q281;6
1592619;Q282;6
1592620;Q283;6
1592656;Q284;6
1592657;Q285;6
1592693;Q286;6
1592727;Q287;6
1592747;Q288;6
1592804;Q289;6
1592807;Q290;6
1592817;Q291;6
1592836;Q292;6
1592857;Q293;6
1592874;Q294;6
1592890;Q295;6
1592921;Q296;6
1592934;Q297;6
1592951;Q298;6
1592971;Q299;6
1593006;Q300;6
1593035;Q301;6
1593041;Q302;6
1593047;Q303;6
1593056;Q304;6
1593058;Q305;6
1593063;Q306;6
1593084;Q307;6
1593102;Q308;6
1593112;Q309;6
1593146;Q310;6
1593241;Q311;6
